cluster,count,strategy_type,mean_acf1_abs_return,mean_acf1_return,mean_avg_equity,mean_max_drawdown_synth,mean_max_net_deposit,mean_mean_return,mean_mean_return_big_equity,mean_mean_return_small_equity,mean_p5_return,mean_ret_prev_equity_corr,mean_std_return,mean_tail_avg_5pct,median_acf1_abs_return,median_acf1_return,median_avg_equity,median_max_drawdown_synth,median_max_net_deposit,median_mean_return,median_mean_return_big_equity,median_mean_return_small_equity,median_p5_return,median_ret_prev_equity_corr,median_std_return,median_tail_avg_5pct
13,19,Low volatility | Negative AUM sensitivity | Vol clustering,0.2840145771105263,0.020973051573684214,415728.802146436,0.15745490589473682,172335.83263157896,0.002212797789473684,-0.001431954305263158,0.005980716631578947,-0.02888831843157895,-0.20555455352105262,0.02234890077894737,-0.04814785789473684,0.2760486933,0.0156841141,15764.1375831792,0.1701284208,12255.19,0.0019314818,-0.0016987857,0.0049379515,-0.0266156949,-0.2133334401,0.0208156837,-0.0417220948
14,10,Low volatility | Negative AUM sensitivity | Small size | Vol clustering,0.5092971062000001,0.01703510681,41300.78474904463,0.17423077376,19532.879999999997,0.00268845451,-0.0005597709499999999,0.0068238123900000005,-0.03339634019,-0.15729953714,0.027940699609999998,-0.05806651588,0.5089261989,0.0159364336,15071.93077403575,0.1732935969,8512.955,0.0015177914,-0.00047968195000000003,0.0054836348,-0.0360151006,-0.1530818994,0.0245229238,-0.05624118555
15,12,High risk / High return | Negative AUM sensitivity | Vol clustering,0.20988115051666667,-0.08959865334166667,77752.45162524983,0.3704173125916667,57193.886666666665,0.0195564537,0.00256342765,0.03920032729166666,-0.09800317825,-0.20849104271666666,0.1097096074,-0.16868779079166665,0.2013666224,-0.0906791405,16783.5533460638,0.36412659215,11272.025,0.01772332,0.00159431665,0.035055876099999994,-0.09903128445,-0.2006714536,0.1061250954,-0.17151569789999999
16,21,High risk / High return,0.09754726093809525,-0.02459628226190476,151779.90109493272,0.5119072789333334,83175.45571428572,0.014706306795238095,0.004449974990476191,0.025435258899999997,-0.10838924396190477,-0.10543145561904761,0.11512602566666667,-0.1679719796095238,0.0930955199,-0.0276356256,60575.8847396471,0.5302856925,46656.22,0.0145473976,0.0044006752,0.024676008,-0.1096031527,-0.1035617196,0.1187749174,-0.1682399499
17,14,Low volatility | Negative AUM sensitivity,-0.010538573785714286,-0.045061832621428564,157734.20979674222,0.08624985251428573,119501.71214285716,0.0023214088642857142,-0.0002818146142857143,0.005299834107142856,-0.01662683167142857,-0.24400165927142856,0.017927215142857146,-0.02724051197142857,-0.0174643495,-0.039374254250000004,42288.823271194095,0.08614544795000001,24352.915,0.0022618824,-2.04965e-06,0.006161844,-0.01436158605,-0.2322024358,0.017497098500000002,-0.02683973075
18,13,Low volatility | Large size,0.032638077715384614,0.0113291265,506229.14237427025,0.21833936516153846,274687.0669230769,0.006467328169230769,0.0011319073153846155,0.01200903240769231,-0.036953891123076926,-0.09408880606923078,0.05916992703846154,-0.0617449648923077,0.0246082891,0.0151692098,135230.4494517011,0.2087799203,80369.99,0.0061683425,0.0012446128,0.0116863067,-0.0371643986,-0.0797548771,0.0610816763,-0.0540935044
19,17,Low volatility,0.10410101399411764,-0.05260322694705882,65920.17884756048,0.29087857913529414,51143.41823529412,0.0027834274117647063,0.001919187194117647,0.0036243469058823523,-0.047684502735294114,-0.010380085552941176,0.04314808381764706,-0.0837845062117647,0.0971405932,-0.0618557481,18246.6862546983,0.2999965881,11516.08,0.0028677522,0.0012938283,0.0038596998,-0.0547539231,-0.025304781,0.0479796908,-0.0899841592
20,19,Low volatility | Small size,0.03027564582105263,-0.003293841668421052,66601.26543531354,0.09807317169999999,63283.44473684212,0.001863651963157895,0.0009175006105263159,0.0028569329736842105,-0.012425953863157894,-0.022591578215789474,0.023110295310526312,-0.02424972895263158,0.025464963,-0.002706136,13790.9530532883,0.0786791512,13842.1,0.0015211979,0.0003688277,0.0024841578,-0.0118515399,-0.0138497457,0.018423159,-0.0186829504
21,29,High volatility | Higher tail risk,0.06565986057586207,-0.03417675636551724,126626.19401165901,0.8959399630896552,103634.5172413793,0.005948380379310345,-0.007929122786206895,0.020353190820689655,-0.13684838970689656,-0.11694747216551725,0.1500638556896552,-0.31419121202413797,0.0744348992,-0.0233532427,24635.9656020325,0.8933700617,32237.81,0.0064871998,-0.0090046835,0.019552102,-0.1358741682,-0.1175603438,0.1556248908,-0.3177040914
22,30,High risk / High return | Higher tail risk,0.16368268301333336,-0.02575684392,494124.6877173086,0.9669320300666667,904353.1896666666,0.02607421467666667,0.040188311766666665,0.004034344573333332,-0.38635657730333334,0.06042739715666667,0.2743772027866667,-0.6208050640233335,0.1618904683,-0.06861304895,30285.7699636332,1.0,40098.5,0.0192879278,0.03314642505,0.01273574295,-0.34891797715,0.04756118935,0.26066872685,-0.6201579063
23,23,High risk / High return | Higher tail risk | Large size,0.2462791762826087,-0.0763743021521739,246424.41464776004,0.9793320546260869,471893.1443478261,0.0067017944086956525,-0.016109607956521742,0.040858766847826085,-0.4495388809739131,-0.08793044293913042,0.2850795695826087,-0.6499513216434781,0.1455220524,-0.0424627649,66572.0139385385,1.0,81955.39,0.0135839888,-0.0062146828,0.0358303207,-0.3821890921,-0.0783360719,0.2628951218,-0.6032927312
