cluster,count,strategy_type,mean_acf1_abs_return,mean_acf1_return,mean_avg_equity,mean_max_drawdown_synth,mean_max_net_deposit,mean_mean_return,mean_mean_return_big_equity,mean_mean_return_small_equity,mean_p5_return,mean_ret_prev_equity_corr,mean_std_return,mean_tail_avg_5pct,median_acf1_abs_return,median_acf1_return,median_avg_equity,median_max_drawdown_synth,median_max_net_deposit,median_mean_return,median_mean_return_big_equity,median_mean_return_small_equity,median_p5_return,median_ret_prev_equity_corr,median_std_return,median_tail_avg_5pct
-1,497,High risk / High return,0.1907821469054326,-0.016855467823943666,255150.3186619788,0.527303682562173,216795.08442655936,0.008819723747887323,0.002778001377665996,0.015236839385162602,-0.108344626128169,-0.10866662226981891,0.10241272982193159,-0.20237717619014087,0.1633145218,-0.0182719829,29375.3864647576,0.4995546938,22820.0,0.007047019,0.0001996549,0.012181061850000001,-0.0816761163,-0.0987873335,0.0932676218,-0.1619081628
0,25,High risk / High return | Higher tail risk | Large size,0.10380493189599999,-0.032788713544,14589683.181055468,0.596681069052,23311184.794399995,0.007862553016000001,0.011457249648,0.004176292176,-0.14803519448799998,0.021363755595999998,0.11665289811200001,-0.233620445356,0.086861801,0.0001993227,10449330.671360947,0.593161856,19223458.76,0.0075764381,0.0113599774,0.0043491932,-0.1177438782,0.0372007412,0.1027915333,-0.2054371376
1,34,Negative AUM sensitivity | Small size | Mean-reversion | Vol clustering,0.41642013561470587,-0.3144275598029412,47412.493959935855,0.40272455717058825,32537.95735294118,0.006834225785294116,-0.0010981938382352942,0.015081506688235295,-0.07993072057058825,-0.1697353815264706,0.07826450093235293,-0.15138683540294118,0.4319535045,-0.2973178882,12355.862145664702,0.44071159105,7087.74,0.00633649485,-0.0015628734,0.0156234523,-0.09080873805,-0.1827523704,0.081165857,-0.15569209205
2,21,Higher mean return | Large size | Vol clustering,0.21059089938095235,0.0483378443904762,201830.08834186668,0.385442751747619,185480.46047619046,0.0076992491523809525,0.00696234851904762,0.00812117248,-0.06619915297142857,-0.026442997223809522,0.06803936214285713,-0.11732369869523811,0.2043572128,0.0617305238,107972.2639965291,0.4229899534,42163.66,0.0069548725,0.0057695218,0.0077701091,-0.0726448734,-0.0132511304,0.0703965824,-0.113966551
3,26,High risk / High return | Negative AUM sensitivity | Small size,0.03712074681923076,0.012492832615384615,33990.592135435116,0.14946444414615384,50443.01576923077,0.015827778015384618,0.0002507543692307693,0.0388217009423077,-0.03129293861923078,-0.2898909234346154,0.09758580711923079,-0.054944648376923075,0.01953875575,0.00418008215,10691.57321348195,0.1480647275,5393.15,0.01529724125,-0.00018878569999999998,0.0349037683,-0.028816772150000003,-0.24526760264999997,0.10127273215,-0.0538144803
4,22,Low volatility | Negative AUM sensitivity | Vol clustering,0.2985233267863637,-0.04258153467727273,121314.55489362525,0.4491430988090909,25863.791363636366,0.0025045171863636367,-0.0041392286772727275,0.00932263859090909,-0.07866232945909092,-0.14816743271363636,0.05357802575000001,-0.12073608391818177,0.3098077783,-0.0512997024,17141.5549482039,0.43906913179999996,8399.41,0.0015039566,-0.004473252949999999,0.00796961755,-0.07600693315000001,-0.1518367284,0.049972582249999994,-0.11282923219999999
5,56,Higher tail risk | Vol clustering,0.32851250962857137,-0.022806159335714286,124701.63074442507,0.7006387704285714,107327.84571428571,0.0008402383607142858,-0.0012838780892857143,0.0033283124482142855,-0.10768317996964284,-0.04536839480178572,0.07686427058214286,-0.18501997182678573,0.3194465773,-0.0223813493,20145.1028306034,0.6938928794,12207.96,0.00048996455,-0.0007203591999999999,0.0031681586,-0.10504181055,-0.04564644625,0.0767234717,-0.17945723260000002
6,8,Low volatility | Small size | Momentum / Trend | Vol clustering,0.4462600821125,0.1441670405625,149954.69852178835,0.33695746145,76211.0025,0.0033429216,0.0012336985125,0.005500745825,-0.0572226026625,-0.081388423875,0.0412512440625,-0.09964644576250001,0.43213547575,0.1456022236,11315.9895327067,0.35100314125,4275.455,0.00365413535,0.0007847533499999999,0.00635385955,-0.05264426755,-0.09714342895,0.03928241835,-0.0952916132
7,14,High risk / High return | Negative AUM sensitivity | Momentum / Trend | Vol clustering,0.3835871911,0.33518420422857137,41710.29474649164,0.2066778394,54889.91714285714,0.030575154064285712,0.006916250271428572,0.12469017324285712,-0.06453697762142857,-0.3829737781214285,0.11131143851428571,-0.08827185039999999,0.348377626,0.27805083115,33020.62034127635,0.1156839184,15499.17,0.0313716245,0.0054637235999999995,0.05788753645,-0.0583806231,-0.3316789002,0.10289593385000001,-0.08139857945000001
8,18,Low volatility | Negative AUM sensitivity | Small size | Momentum / Trend,0.38601316756111115,0.33406831645555557,37800.61978673506,0.04346705727222221,23539.78111111111,0.003933846116666666,-0.00027498445555555555,0.010362132599999999,-0.009479902255555554,-0.7593522637555554,0.019309198333333333,-0.01648726906111111,0.3503966012,0.30428146975000003,5269.631177914251,0.020455351650000002,3914.58,0.0037170773,-9.188649999999999e-05,0.00883155485,-0.00690836835,-0.8590906456,0.01927736455,-0.0108407205
9,34,Low volatility | Mean-reversion | Vol clustering,0.36028173793235296,-0.15831701352647057,224233.17871115764,0.1579332935764706,191654.73235294115,0.0023439488147058824,0.0008531477176470588,0.003875990355882353,-0.027144572885294118,-0.08393817699117646,0.023635521347058826,-0.04951181605882353,0.352202552,-0.14711701415,33588.7465591518,0.14918541285,21684.27,0.00188761565,0.00034110625,0.00359792645,-0.02385439475,-0.0890088437,0.0193515975,-0.047895244399999995
10,21,High risk / High return | Higher tail risk | Negative AUM sensitivity | Vol clustering,0.30189867966666667,-0.1216571097047619,215830.8214851877,0.586462839347619,163774.96285714288,0.029211711066666667,0.009139379019047617,0.05697214443333334,-0.17862107611428574,-0.18523223520476195,0.1680490321952381,-0.29642547860476187,0.2784069803,-0.0964756592,18899.7052339565,0.590151209,16508.85,0.0264272208,0.0087149126,0.0494858923,-0.1849680169,-0.1944985209,0.1723271845,-0.3055545815
11,64,High risk / High return | Higher tail risk | Large size,0.008799969431249999,-0.03268800315625,245455.85492722783,0.7258607186140624,337950.2853125,0.00675075989375,0.0102266003453125,0.0031076789359374994,-0.16776008190625,0.026976235078124997,0.123940326078125,-0.2647791654875,-0.00537737805,-0.03017120175,161863.12585271505,0.7246031553500001,214481.72,0.00755000655,0.0087861267,0.00449200435,-0.17708866755000002,0.01625559955,0.12213184965,-0.26641472504999997
12,16,High risk / High return | Capacity sensitive (AUM-dependent) | Large size | Momentum / Trend,0.1402223453375,0.15955124003124999,104498.59517770523,0.51603117591875,121924.289375,0.0215209049,0.03559558151875,0.00680082918125,-0.12844482640625,0.15089648959375002,0.104998876725,-0.19705961041875,0.14320573949999998,0.1733011117,122270.69449326926,0.44595227645,132720.3,0.022141057,0.0358384634,0.007437005,-0.1293652916,0.17970085515,0.1012970773,-0.20091995975
