trader,weight,cluster
0x011af0d7a38f1b1b43cffd7a51e1aa38d1c61ece,6.340863134239272e-07,-1
0x02fbbf39d1e3c142994b383af5ac3f2ad744cda9,8.467569730386116e-06,-1
0x0319b88008686bcf15c8d0955b90b18050c661d2,3.825450406612117e-06,-1
0x032a3141ef7f25987712c21dda808fee1cb26d83,1.780492464027762e-05,-1
0x03d50cdc277f5fe70259511d56ea4c5a760064ef,9.611663187006597e-07,-1
0x0468aece9ee888878f7d8130c2882f61e3cf677a,5.153613599551446e-09,-1
0x04a94b61531a1b3a3b5bbd01dab4522f297468be,2.2541397443809826e-06,-1
0x04c6436109ade28b6eb0e01f8bc30869eacb1c83,8.789437602018515e-07,-1
0x04c8e82bbd0a33d3179e767c262223f50e74f7d2,3.3647751701455943e-06,-1
0x05245ef7f5e5fa2db758ab31292ce73487043971,1.008540819463195e-05,-1
0x05f761aacd63e4e96bf98f0fe5614de5ba90856c,1.447746782905367e-06,-1
0x064f5692b711fe69cc10ef3848ba659b8b6dcefa,1.5282165878879567e-06,-1
0x0762a621091357d600af930ad21ca493ab5b0282,6.640249321741529e-07,-1
0x08bd0f74f8f1233d9307454a6612f25d6bd4c7a1,1.1437327701074773e-06,-1
0x0971508fd715704b3abf6a7f11c45c1ddabaf73f,4.556043306625141e-06,-1
0x0a183be6a9e3652c1a6c8fdd82a82c0fae6b4c5a,1.4216962635970305e-06,-1
0x0aebaf5e3d4207d71474cfa3f654ec0743183619,1.362553147022524e-06,-1
0x0af94ca619cd5b18ba72aa1244bfaa8bcb1babd3,9.43040729646439e-07,-1
0x0b6b0a88e05f8f7053e2b3a5d56e4d8555774bee,4.399178665547554e-06,-1
0x0b94d9966717e894d7a145f9642445ab151762c6,6.382463247088187e-06,-1
0x0d15525acdbc08c94c662267b8f1705c7ce162f6,7.796320936038026e-06,-1
0x0da551d5369704e0cef6386127d889560800b5f6,8.106041085039651e-07,-1
0x0db56c99b8ad68f35f4b1772a4ffed3fb16204f6,1.6221505991726852e-06,-1
0x0deb827a58f6eb88e15c91d941c33515298d0bc5,6.039081994673649e-07,-1
0x0eecd62efb05009e2b72964b4bcdbcf653afd4c5,2.074987093324989e-07,-1
0x0fd468a73084daa6ea77a9261e40fdec3e67e0c7,2.496067867141725e-06,-1
0x0fd7b11cd60ab7c0b8485a689e313f50b6c1b74b,6.604295629447449e-07,-1
0x1003d8c532e5178673668e5f3aa48dc399ee940c,3.0946530763698762e-06,-1
0x11ce8c10fc72f4f60c9158eb89fec07db3c91535,2.6513332617580816e-05,-1
0x121c93d3accf50bab046fe499fcefc07fbe6386a,7.042109274539031e-06,-1
0x12651d08f86bdac553a60c8ec096b82bfcee5677,8.60152152690863e-07,-1
0x129cfcdced580dcd6c2e0e1d6ac3f608e0c66040,6.078651093375459e-06,-1
0x13558be785661958932ceac35ba20de187275a42,6.395834604370683e-07,-1
0x14f5dd7ca3e4ef4aba7431ad10d9dacaf14fd103,4.4899068942372194e-07,-1
0x14f8e042905350cee7ae0cec27f092f10dd912bb,5.623164052948533e-06,-1
0x158073fb0adcc6626d3db8ed7f64bbd365af2152,5.807511807212967e-07,-1
0x161acffcd4b9a6c482c53c4b1a856e21a05f89f2,7.215725806506331e-06,-1
0x16d81b2dfd8d6650b2013ebed328588e7c26da24,2.615898833632325e-06,-1
0x179c17d04be626561b0355a248d6055a80456aa5,4.821188800125452e-07,-1
0x17e018cde4ba0b1a83e3b39eb6cdf7bc439156b2,5.679272092858033e-07,-1
0x19951dbda49ea27130a2bdcfa8b4eb788ebdcf5f,5.225895068617032e-07,-1
0x1a5ac4d790b1a163bf8b3552df15029e6fe1c4eb,2.8430516475128437e-06,-1
0x1c1891461365cd8aa4a9c0fc01a141b004c8f2c1,1.1741943806817161e-06,-1
0x1c9e242d85fc0e4376ad1ea56143b9fdf9f61017,1.2979057359372257e-07,-1
0x1d2a3b568e82678f22df040485b8cc006f3d0ea6,6.479962074253634e-07,-1
0x1ea27bce786a81022dfc156059771e8d3279a9a6,1.4220556802651718e-06,-1
0x1ed8d101622beaf192d06137dfb220851bcad9fa,4.085250599474511e-06,-1
0x1fcfc47ca84bdbf6d3a5e860cee32ecb9427c323,6.899677032536257e-07,-1
0x2033e4098ff8a11fd9913533cd2b1eb53836a276,0.0007462324929249345,-1
0x208e6c516ad70b394ba3578d4f7a2c61eda1c907,2.8023143671763404e-06,-1
0x21e54e2b9b02d2c0ad2197d7ac85c34151674012,1.0786386703152855e-07,-1
0x21ee4b39f27afcaa6462d84bd904497f44411c5e,5.569999138332549e-06,-1
0x21fe273e04336c952fa0de439ad00529a9dd7909,1.0496636459163705e-06,-1
0x2291a8376fbefdd4847a3c47992f0ee650427d81,1.183321734656697e-06,-1
0x234fe651ff372312c858c820be51801de58a01e5,9.837893648881238e-06,-1
0x23abb0ff0b1cbfd95b20a0fd72b83a2939f0ba5b,1.3008523226171598e-06,-1
0x24d02e64d4a2580d570666546ac937adab2b3e08,1.9362346797915005e-06,-1
0x252530586e885231d62edbf1b6788177ef5d6b61,1.16240481457039e-06,-1
0x252b0d1c7077894e5ba58b22c83118b26805e6b5,7.939811613922802e-06,-1
0x25554a80781ee62414c3747e81c3f50157c634b1,4.653545448703776e-06,-1
0x25cde502eb0c78409b456d1aedaa34a5ff007765,3.3941651069367095e-06,-1
0x25d359b0e809c64cfb661b2541dd2643c6f6d72f,1.2324658886596813e-06,-1
0x25e7de497c501f102e88f1798c003042f14eb9bb,1.0364114949979428e-06,-1
0x260db26a5d85e9e6983257e8af71a60e95873d6b,1.691762669002458e-06,-1
0x2759d5ef1d8d0dbcd893ee36b0743b77fbe7c9e0,4.4090446476877666e-07,-1
0x2874aa935c118b8e170c35ae0e75e507d1332218,2.1551674064909133e-08,-1
0x28ce248832bf0ca164970a062ce0e48f55645ec8,2.7057691323778337e-06,-1
0x29721caea4427b6bf8061f2fee469a62be1d02be,7.486720746410268e-07,-1
0x2a934d40944e2b686ee9cdce74a3f67d32cd0347,2.6791843079804607e-07,-1
0x2b294f5aaf6d6f8081bc98069ebd8c4eb60cda44,1.3413317789894165e-06,-1
