trader,umap1,umap2,umap3
0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,6.1334114,7.569096,12.973153
0x00db0a3628191bed577700b1b4ff8423d3215792,3.3688881,6.953907,12.719252
0x0101eaee8d0013234c32936963ff504a9954220b,2.534119,7.664021,11.354687
0x011af0d7a38f1b1b43cffd7a51e1aa38d1c61ece,5.461739,6.1441274,13.788118
0x0146170a34bc0074f5944fd008cccf4d764ed386,3.7937562,9.601725,13.131295
0x023a3d058020fb76cca98f01b3c48c8938a22355,3.4726279,7.6289744,15.619093
0x027717f112baa657c224eadadbb02602b463508b,5.6914663,7.3987174,14.18776
0x0284bbd3646b59740a167ef78a306028343f3806,5.46329,8.516175,13.397183
0x02fbbf39d1e3c142994b383af5ac3f2ad744cda9,-0.018724782,7.975237,12.603435
0x0319b88008686bcf15c8d0955b90b18050c661d2,2.7730875,7.962225,13.08742
0x03c23d5f89defdd0854483b06761a9e7896a47cf,4.7869473,8.289074,12.961716
0x03d50cdc277f5fe70259511d56ea4c5a760064ef,2.2813077,7.999444,13.334859
0x04027058bb4aff889402ffb6e4743a96ce88149a,0.78893125,8.242886,14.086325
0x0475e30017e5a4efe79cdc856740088f410fee99,1.2292379,7.560847,11.841124
0x04a94b61531a1b3a3b5bbd01dab4522f297468be,3.5985935,8.576717,13.373747
0x04c6436109ade28b6eb0e01f8bc30869eacb1c83,3.732978,7.2664323,13.995529
0x04c8e82bbd0a33d3179e767c262223f50e74f7d2,1.1889616,8.823635,12.43025
0x05245ef7f5e5fa2db758ab31292ce73487043971,1.222467,9.846165,12.85674
0x052ad64f9ceb6d6138467068c3e2f57e9f9d91c7,1.8176881,8.153863,10.76516
0x054a01da80ee37d5220af5471b1eedbdcd2cdb2f,1.7073046,9.21504,13.634083
0x05a64fc3398b49b1dcbb45109ff6debf2ea3dc24,1.1556652,7.04211,11.795028
0x05c1a240d17b2459b9bfe2ae4c7dd53db5031ddd,3.4059381,6.5346165,12.616692
0x05f761aacd63e4e96bf98f0fe5614de5ba90856c,3.5679967,6.878552,13.234821
0x064f5692b711fe69cc10ef3848ba659b8b6dcefa,3.867425,8.862612,14.018553
0x067c14b41eacc18eea90099006f47dacf0a69746,5.559451,7.4520764,13.214775
0x06cecfbac34101ae41c88ebc2450f8602b3d164b,6.4994936,6.4011164,13.23978
0x0725b9c2ade8ef81a6ff835abb73c9e0c95c8b11,0.31647894,7.8053045,13.91032
0x0748e296e5a350ec36c8487a1cea406e1b57d4b2,4.3217854,6.451175,14.111004
0x075c707b6c1b95405cc5f00273ab1a2a946bb384,4.8776712,6.3123565,13.771203
