trader,num_return_days,avg_equity,max_net_deposit,is_kept,pos_day_ratio,avg_gain,avg_loss,payoff_ratio,mean_return,std_return,skew_return,kurtosis_excess,p1_return,p5_return,p95_return,p99_return,tail_avg_5pct,max_drawdown_synth,worst_5d_return,worst_10d_return,acf1_return,acf1_abs_return,ret_prev_equity_corr,mean_return_big_equity,mean_return_small_equity,num_active_days,active_day_ratio,max_gap_calendar_days
0x2a5f25fe7a7e94231cf21e2c91d1a160b5bdf82d,2,2053.1487110000,1941.0800000000,0,0.0000000000,,,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,0,0.0000000000,1
0x2a6e0b832b08c040ca59625025b6b8aec96a29f6,172,22638.8757231850,27149.1400000000,1,0.5872093023,0.1156611731,-0.1055634451,1.0956555367,0.0243417086,0.1960045504,0.1776305504,9.3415159280,-0.6627041685,-0.1951038862,0.2557154129,0.7138358715,-0.4621643234,0.9989584340,-1.4304390274,-1.4215840092,0.0488327033,0.1107482268,-0.0684215204,0.0016692369,0.0475476502,172,1.0000000000,6
0x2a88f05454121937f462873c799d0cacf729414e,45,1361.5205851957,2080.0000000000,0,0.1333333333,0.0781690077,-0.0216346095,3.6131462177,0.0094609962,0.0385353502,4.0443250211,16.8890225237,-0.0270355729,0.0000000000,0.0583793706,0.1230093854,-0.0216346095,0.0428303332,-0.0432692191,-0.0432692191,0.0171256396,0.0936507197,0.2158468577,0.0131624105,0.0055913357,8,0.1777777778,1
0x2a934d40944e2b686ee9cdce74a3f67d32cd0347,155,88383.0982063013,164947.1800000000,1,0.4967741935,0.2207673600,-0.1690348930,1.3060460838,0.0246088069,0.2664696174,0.2302281677,1.6782936123,-0.7192317587,-0.3588850468,0.4868740175,0.6489345049,-0.5507109687,0.9805174471,-1.5224603775,-2.0070574984,-0.0876273238,0.1436384744,0.0137462442,0.0316555227,0.0174705753,155,1.0000000000,10
0x2ab1086462946b6f6713d6fddb73df7abb716554,111,5154.3717978482,1993.1300000000,1,0.5675675676,0.0846534975,-0.0732922812,1.1550124531,0.0170129110,0.1191352210,0.0138216816,2.1611541144,-0.3413991200,-0.2060594568,0.2216264535,0.3183407313,-0.2953081475,0.5379884302,-0.5603520632,-0.3840362114,-0.1995345193,0.0929451476,-0.1299009569,0.0120894315,0.0220259084,110,0.9909909910,25
0x2ada5353e9590cf4a6c23a6ed2ec45e2b0dac2f1,10,3000.0131104545,3000.0000000000,0,0.1000000000,0.0001162057,-0.0000110984,10.4704912420,0.0000105107,0.0000373009,2.4864333578,4.1811953558,-0.0000110984,-0.0000110984,0.0000000000,0.0000000000,-0.0000110984,0.0000110984,0.0000000000,0.0001051073,-0.2169559855,-0.0297135255,-0.5940497567,0.0000000000,0.0000525537,2,0.2000000000,1
0x2b294f5aaf6d6f8081bc98069ebd8c4eb60cda44,88,10105.1472133258,2000.0000000000,1,0.4659090909,0.0976682111,-0.0463272204,2.1082251513,0.0212880059,0.1390879114,4.3716290058,26.4492550560,-0.1535049378,-0.1091912805,0.1815800812,0.4173880429,-0.1324204769,0.4264442849,-0.3638509367,-0.3393095732,0.1478884805,0.4006106069,-0.4858995467,-0.0142014038,0.0584280858,87,0.9886363636,6
0x2b3ec9c7c24edb46a9938a7190d1b23cd59a98d4,1,145812.8348715000,109941.3100000000,0,1.0000000000,0.3332974006,,,0.3332974006,0.0000000000,,,0.3332974006,0.3332974006,0.3332974006,0.3332974006,0.3332974006,0.0000000000,,,,,,0.3332974006,,1,1.0000000000,0
0x2b5ad1be317e1c93a8d98db0682996de6be64acb,22,10209.9957006957,6000.4700000000,0,0.1363636364,0.0421220640,-0.0282841600,1.4892457083,0.0031726305,0.0196069629,0.1796535547,2.9162595876,-0.0524316271,-0.0041366930,0.0319951397,0.0421006835,-0.0524316271,0.0563514266,-0.0042979514,-0.0042979514,-0.1754578227,0.5034255194,-0.8043387283,-0.0029772800,0.0421220640,5,0.2272727273,112
0x2ba335eb83567a3be805477bbafda99b318d1639,40,8199.4088101951,7394.4200000000,1,0.0250000000,0.6104924378,-0.1193952037,5.1132073907,0.0063076707,0.1057969205,4.4839186727,24.8106278302,-0.2045694759,-0.1535197677,0.0000000000,0.0000000000,-0.1790446218,0.3266837852,-0.0000963674,-0.0000963674,-0.2270963350,0.3353378828,-0.2121354224,-0.0000026045,0.0841343981,4,0.1000000000,7
