rebalance_date,trader,weight,cluster,layer
2025-08-31,0x0a88fe672595ac29f214e0e1de712ec58abb525b,0.14814814814814817,1,core
2025-08-31,0x7e09dfbba23d078e16f038b1ed4c558185c4be1e,0.14814814814814817,1,core
2025-08-31,0xc2d25de009756d3e2ff8a69fd68a02dd7679a8a2,0.14814814814814817,1,core
2025-08-31,0xd08a4557671ca465e7bba41110a93148c90f9931,0.11851851851851854,2,core
2025-08-31,0xa88cd544cf98db0859ecd4bc9d5d997ac8185d6f,0.11851851851851854,2,core
2025-08-31,0xb4d96c7387a45fa2cb170fa1436a86640ab00eb1,0.11851851851851854,2,core
2025-08-31,0x7af0b7a51c6bbf3970a5d0c79fc958f3d5ec58b7,0.06666666666666665,0,satellite
2025-08-31,0x1d2a3b568e82678f22df040485b8cc006f3d0ea6,0.06666666666666665,0,satellite
2025-08-31,0x4d3e7f2c578b5edc58eb352da6e73b1184db7a4a,0.06666666666666665,0,satellite
2025-09-30,0xc2d4ff17906940004b25884779c74aecda24fb83,0.13333333333333333,1,core
2025-09-30,0x74dffdad17f5343419d606985908c67d2988f87c,0.13333333333333333,1,core
2025-09-30,0x3e0a05c7254ffd8eb2e75adc89ad785c67ed2f62,0.13333333333333333,1,core
2025-09-30,0x0a88fe672595ac29f214e0e1de712ec58abb525b,0.13333333333333333,2,core
2025-09-30,0x3895d155b005191686476a39580d43258a518e46,0.13333333333333333,2,core
2025-09-30,0x6049ddfd35e4d9098a6367e36023f2a36792b642,0.13333333333333333,2,core
2025-09-30,0xe65bac8dd067e2bf78e78c6fb3b18903d55db802,0.06666666666666665,0,satellite
2025-09-30,0x8c7579a7da5e61278ea6a65b11b748c0cdf32811,0.06666666666666665,0,satellite
2025-09-30,0xafce8249317d554902292b5590b08ddd8c0df713,0.06666666666666665,0,satellite
2025-10-31,0x6049ddfd35e4d9098a6367e36023f2a36792b642,0.26666666666666666,1,core
2025-10-31,0x3895d155b005191686476a39580d43258a518e46,0.26666666666666666,1,core
2025-10-31,0xe377e2f11c745c294ad65686635217ec765059f2,0.26666666666666666,1,core
2025-10-31,0x4d3e7f2c578b5edc58eb352da6e73b1184db7a4a,0.06666666666666665,0,satellite
2025-10-31,0xddce6ae3db95eb2a0259aeeab3f6932902354830,0.06666666666666665,0,satellite
2025-10-31,0x8c7579a7da5e61278ea6a65b11b748c0cdf32811,0.06666666666666665,0,satellite
2025-11-30,0x17241870b9263ad46f3c717bc1a36089c8179d02,0.26666666666666666,2,core
2025-11-30,0x3895d155b005191686476a39580d43258a518e46,0.26666666666666666,2,core
2025-11-30,0x02fbbf39d1e3c142994b383af5ac3f2ad744cda9,0.26666666666666666,2,core
2025-11-30,0xda2a9a32ce481b006dbc39df72caa953ec455d3f,0.033333333333333326,0,satellite
2025-11-30,0x1932fe080e333c5b07fda595d369362b653cdd4f,0.033333333333333326,0,satellite
2025-11-30,0x4a58938dfb597c1dba490c8c44f151812e0606c9,0.033333333333333326,0,satellite
2025-11-30,0x8c7579a7da5e61278ea6a65b11b748c0cdf32811,0.033333333333333326,1,satellite
2025-11-30,0xb3e343f5bcecced6325928a2c199b9a161f3e238,0.033333333333333326,1,satellite
2025-11-30,0x89a4e7b411cebfcf66347935bb84f406eab4be29,0.033333333333333326,1,satellite
2025-12-31,0xfe98c865cf0c3f64894a06b5686cd5b8c49ff02d,0.07619047619047621,0,core
2025-12-31,0xbc77f2ebbc44038638cb1333738c40879311b2d3,0.07619047619047621,0,core
2025-12-31,0xcaf10301d137ad89afb66759545def8b15098f1c,0.07619047619047621,0,core
2025-12-31,0x3895d155b005191686476a39580d43258a518e46,0.1904761904761905,2,core
2025-12-31,0x17241870b9263ad46f3c717bc1a36089c8179d02,0.1904761904761905,2,core
2025-12-31,0xb58216005588bc45bd342a2525d52e05c69d13ac,0.1904761904761905,2,core
2025-12-31,0xe3ae260fee322b7ee0ef4e81ee645705b3cd63da,0.06666666666666665,1,satellite
2025-12-31,0xda2a9a32ce481b006dbc39df72caa953ec455d3f,0.06666666666666665,1,satellite
2025-12-31,0x1932fe080e333c5b07fda595d369362b653cdd4f,0.06666666666666665,1,satellite
