trader,style_drift_score,num_windows,num_valid_windows
0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,0.0,3,1
0x00db0a3628191bed577700b1b4ff8423d3215792,0.9999999999971146,5,2
0x0101eaee8d0013234c32936963ff504a9954220b,0.940958390085702,10,9
0x011af0d7a38f1b1b43cffd7a51e1aa38d1c61ece,0.9999999999971146,12,4
0x0146170a34bc0074f5944fd008cccf4d764ed386,0.9999999999966515,12,6
0x01cc2fc149c4c0b1c7d7d253e793115b31e25a03,0.9999999999972693,3,3
0x023a3d058020fb76cca98f01b3c48c8938a22355,0.6500224216454689,12,12
0x027717f112baa657c224eadadbb02602b463508b,0.9999999999971146,12,4
0x0284bbd3646b59740a167ef78a306028343f3806,0.9182958340516042,10,3
0x02fbbf39d1e3c142994b383af5ac3f2ad744cda9,0.9999999999971146,5,2
0x0319b88008686bcf15c8d0955b90b18050c661d2,0.9602297178580305,7,5
0x03c23d5f89defdd0854483b06761a9e7896a47cf,0.9999999999971146,11,4
0x03d50cdc277f5fe70259511d56ea4c5a760064ef,0.9999999999971146,7,4
0x04027058bb4aff889402ffb6e4743a96ce88149a,0.9697238998651407,11,6
0x0468aece9ee888878f7d8130c2882f61e3cf677a,0.0,2,1
0x0475e30017e5a4efe79cdc856740088f410fee99,0.9999999999971146,5,2
0x04a94b61531a1b3a3b5bbd01dab4522f297468be,0.9697238998651408,12,6
0x04c6436109ade28b6eb0e01f8bc30869eacb1c83,0.9463946303544555,12,4
0x04c8e82bbd0a33d3179e767c262223f50e74f7d2,0.930628224413229,12,8
0x05245ef7f5e5fa2db758ab31292ce73487043971,0.9999999999968934,12,5
0x052ad64f9ceb6d6138467068c3e2f57e9f9d91c7,0.9999999999972693,5,3
0x054a01da80ee37d5220af5471b1eedbdcd2cdb2f,0.9999999999972693,12,3
0x05c1a240d17b2459b9bfe2ae4c7dd53db5031ddd,0.9999999999971146,12,4
0x05f761aacd63e4e96bf98f0fe5614de5ba90856c,0.9999999999971146,12,4
0x064f5692b711fe69cc10ef3848ba659b8b6dcefa,0.9999999999971146,12,2
0x067c14b41eacc18eea90099006f47dacf0a69746,0.9671320180830053,12,8
0x06cecfbac34101ae41c88ebc2450f8602b3d164b,0.785475297224449,12,10
0x0725b9c2ade8ef81a6ff835abb73c9e0c95c8b11,0.9739760316252737,12,10
0x0748e296e5a350ec36c8487a1cea406e1b57d4b2,0.9671320180830053,12,8
0x075c707b6c1b95405cc5f00273ab1a2a946bb384,0.9609640474407958,12,5
0x0762a621091357d600af930ad21ca493ab5b0282,0.9999999999964029,12,7
0x077a25d1f579574fe168bbaa924e40c9bfa57ccc,0.9999999999971146,5,2
0x07a91bc69f136950419cf76d15a8b6e233c5baed,1.0,3,0
0x085db44e424331c3036e3ebaf7c7e8800b2cf1ac,0.0,3,1
0x08604bf8baafac4925cf40485c5d1eae07c0102c,0.9084496903109991,12,11
0x087a728decac54ab20f622d098db374b59f99347,0.0,1,1
0x08bcb856963cb4f0c3f099c64a57c928a9c88888,0.9609640474407958,8,5
