trader,cluster
0x14f5dd7ca3e4ef4aba7431ad10d9dacaf14fd103,-1
0x14f8e042905350cee7ae0cec27f092f10dd912bb,9
0x158073fb0adcc6626d3db8ed7f64bbd365af2152,5
0x15b00c5f27298e0503c2aad79024f535c90a27b0,-1
0x161acffcd4b9a6c482c53c4b1a856e21a05f89f2,-1
0x162cc7c861ebd0c06b3d72319201150482518185,-1
0x1645d9a3a4fba8e42fb9698591b6fd4e6efde3e8,-1
0x166e9c3e0bc7f1045a251f01c7e3a2307623c68c,-1
0x16837157d4fe589feac7ef09aa317309edf550da,-1
0x16aa234e82d7b51b8757110cbeeac6a65351785c,-1
0x16d81b2dfd8d6650b2013ebed328588e7c26da24,14
0x17241870b9263ad46f3c717bc1a36089c8179d02,-1
0x17871199db05b9ac99cdbdbb09d5d67e2c636304,-1
0x179c17d04be626561b0355a248d6055a80456aa5,-1
0x17c5b01bc17593bd9647e98fe7f292b32f6ed4f0,11
0x17e018cde4ba0b1a83e3b39eb6cdf7bc439156b2,-1
0x18363bcf247a7d78fe56d7fb0915d7d258e54093,6
0x1846e2ee0cdf5bc0bfa710bcac0f39ddcc43eac1,-1
0x18705a4132aef19e17013ceffd6ca7a71baf9b36,-1
0x18ae3ec77652efd09597a577c100d97c1169fbb1,11
0x18cde66120c9195fb6e50a4b1e13bce4c85d1300,2
0x1932fe080e333c5b07fda595d369362b653cdd4f,1
0x193c6bcb33eab0b35989f2b6d1acc922b66409f2,-1
0x193e049fcaedaae146084bbc6d6c6d4b2888ae46,8
0x19951dbda49ea27130a2bdcfa8b4eb788ebdcf5f,23
0x19a837a58f819970a3c044222668ce21ad9fb557,21
0x19abe6cee288384fac7e132518088322905bb027,20
0x19e7ea01bf96f7c02b4f47feefe524a6fd9a7c6e,-1
0x1a5612386dce50174bd467498afa607df418d7c6,-1
0x1a5ac4d790b1a163bf8b3552df15029e6fe1c4eb,-1
0x1a6f24091a055890ecb411129977668ab55473b4,5
