trader,num_return_days,avg_equity,max_net_deposit,is_kept,pos_day_ratio,avg_gain,avg_loss,payoff_ratio,mean_return,std_return,skew_return,kurtosis_excess,p1_return,p5_return,p95_return,p99_return,tail_avg_5pct,max_drawdown_synth,worst_5d_return,worst_10d_return,acf1_return,acf1_abs_return,ret_prev_equity_corr,mean_return_big_equity,mean_return_small_equity,num_active_days,active_day_ratio,max_gap_calendar_days,mean_return_z,std_return_z,max_drawdown_synth_z,tail_avg_5pct_z,p5_return_z,ret_prev_equity_corr_z,avg_equity_z,max_net_deposit_z,mean_return_big_equity_z,mean_return_small_equity_z,acf1_return_z,acf1_abs_return_z
0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,62,352482.2498768413,486706.42,1,0.5,0.1750658587,-0.1422687598,1.2305291678,0.0163985494,0.2401282119,0.931172481,3.7255430142,-0.6604150734,-0.3047185834,0.351639746,0.4978000963,-0.4349775371,0.7852790918,-0.5577543684,-0.6819705503,-0.0182719829,0.3927909671,-0.1260159515,-0.0091939472,0.0436972125,62,1.0,25,0.6765554413489601,1.6735248900209903,0.8940832902302527,-1.3258262538988475,-1.5368184761695045,-0.10777635951483054,-0.0666580694745651,-0.053525806957355496,-0.923108561969148,0.753521911244339,0.019246354108145968,1.158663747646179
0x00db0a3628191bed577700b1b4ff8423d3215792,108,5149.196317578,3682.68,1,0.5462962963,0.0712001342,-0.0564588731,1.2610973317,0.0132807698,0.0995107644,1.260943955,5.8631329684,-0.2576670222,-0.1106378325,0.1464084069,0.2718269527,-0.1896649591,0.4012273019,-0.2588989282,-0.1416110314,-0.2299161776,0.1506051247,-0.1536137681,-0.0012244603,0.028333367,108,1.0,52,0.3972610055979754,-0.023816594471560384,-0.33943102408836356,0.05288560245560147,0.02739913311073175,-0.26997290574893207,-0.1821913061829189,-0.15324835833909356,-0.35216062498821654,0.34217903188929316,-1.4536877835955562,-0.2742465693302548
0x0101eaee8d0013234c32936963ff504a9954220b,114,13149.337131513,6038.11,1,0.4561403509,0.0899653998,-0.0456513017,1.9707083119,0.0238174984,0.1477733208,3.1619940075,14.6327590695,-0.2883069374,-0.109604292,0.244778093,0.6727663718,-0.2366839352,0.4441032604,-0.3991833882,-0.1494501841,0.1835615197,0.6060406027,-0.3907040543,-0.0079100696,0.0566781938,95,0.8333333333,27,1.3411537903856694,0.5587429710857751,-0.20172014774105632,-0.21137161725661593,0.03572907949906416,-1.663388411209414,-0.17953022295779814,-0.1527620685985498,-0.8311293321574986,1.1010673369514645,1.4239031486554568,2.420370872697784
0x011af0d7a38f1b1b43cffd7a51e1aa38d1c61ece,173,913320.9265234194,1870214.01,1,0.5375722543,0.0985934225,-0.0902570661,1.0923623683,0.0112637168,0.1417403985,0.5044559631,5.534093851,-0.3663507627,-0.1735910498,0.2288465015,0.3197323673,-0.3054881536,0.8668442423,-0.7921324996,-0.7967652369,-0.0095567132,0.1474036893,0.0843283399,0.0168510785,0.0056113858,173,1.0,6,0.21657097878696194,0.48592178513365347,1.1560578034007283,-0.5980667979467839,-0.4799800407891215,1.128448885388762,0.11989344619669924,0.2321059235468214,0.9428024908528776,-0.2661663964384794,0.07990012388728324,-0.29318809691227166
0x0146170a34bc0074f5944fd008cccf4d764ed386,140,35177.9403247234,10000.0,1,0.3285714286,0.0532056481,-0.0625226242,0.8509823245,6.48391e-05,0.0655591338,0.3722802376,6.7866319709,-0.2179822168,-0.1017878474,0.0955446634,0.2281593481,-0.1572050887,0.6428351187,-0.3794044278,-0.4459517036,-0.1471527242,0.5000558513,-0.105048265,-0.003059497,0.0042306205,85,0.6071428571,27,-0.7866379165005,-0.4336342387830653,0.4365755154246289,0.23531737395738253,0.09872667317378758,0.015453908375977793,-0.17220285862838708,-0.15194411754071194,-0.4836258537157142,-0.30313422289934394,-0.8776969512464489,1.793304310018963
0x023a3d058020fb76cca98f01b3c48c8938a22355,172,22024276.671038028,19080800.21,1,0.5465116279,0.0604087994,-0.0630488015,0.9581276397,0.0044222129,0.0906941131,0.394606129,3.1166991203,-0.2478230163,-0.1452443228,0.1515351157,0.2589535772,-0.2054371376,0.5259361649,-0.3585496994,-0.5724639988,-0.2528212058,0.1756783484,-9.30642e-05,0.0071809076,0.0015986078,172,1.0,6,-0.3962991456562992,-0.13023914922455565,0.06111434942220836,-0.03575758769704022,-0.25151611877087904,0.632291512806852,7.142021119267218,3.7853134049002892,0.2500145868275835,-0.3736022370769825,-1.6130949339247591,-0.12589900052295444
0x027717f112baa657c224eadadbb02602b463508b,172,146742.7081051618,236000.13,1,0.488372093,0.1149724607,-0.1079838529,1.0647190081,0.0009017887,0.1495539877,-0.1483914188,0.9163944384,-0.467004294,-0.2337512931,0.2662697722,0.332738564,-0.3592785078,0.9170369696,-0.9182360634,-1.2597596106,-0.0579714713,-0.0405344029,-0.0413235027,-0.0095246761,0.011573582,172,1.0,6,-0.7116629675708155,0.580236746240759,1.3172689973789204,-0.9003806853865275,-0.9648488982727275,0.38997398380285353,-0.13509312031754514,-0.10528531444295014,-0.9468025570185624,-0.10653793934499242,-0.25704155351255914,-1.4051376171549472
0x0284bbd3646b59740a167ef78a306028343f3806,147,1120193.936766642,549908.5,1,0.3401360544,0.1082705269,-0.1144670061,0.9458666792,0.0080152865,0.1414098356,-1.520202009,19.1954095463,-0.3233722005,-0.1615485204,0.1458931589,0.477619975,-0.3361061785,1.0,-0.6809624273,-0.7716338283,-0.1804805686,0.2966794102,-0.0133189138,0.0151841226,0.0007482472,87,0.5918367347,26,-0.07442730336066067,0.48193168196097175,1.5837332822721035,-0.7701469835285676,-0.3829217984832641,0.5545611924259393,0.18870552214535896,-0.04047743656000666,0.8233788637002697,-0.39636930914198626,-1.1096415118918308,0.5900126650811746
0x02fbbf39d1e3c142994b383af5ac3f2ad744cda9,74,517085.7331848533,463433.86,1,0.5675675676,0.0040597896,-0.0008812736,4.6067299184,0.0020660228,0.0083227859,6.4050246904,45.3903062682,-0.0043277405,-0.002423711,0.0091390994,0.0204320369,-0.0039248486,0.0050002233,-0.0047803263,-0.0044868029,-0.0492142928,-0.0354572923,-0.2153676606,0.0001350593,0.0041042621,48,0.6486486486,6,-0.6073694806156902,-1.1245131406456388,-1.6120504624745493,1.096786794293125,0.8995641141206594,-0.6329098809881976,-0.011906087176400878,-0.05833053779808929,-0.2547622704084329,-0.30651727098367254,-0.19609612015966923,-1.3750985195467775
0x0319b88008686bcf15c8d0955b90b18050c661d2,131,30616.2833425076,19515.42,1,0.4961832061,0.0578605352,-0.0386358612,1.4975862681,0.0092440301,0.0916460596,3.1560833787,18.8609053997,-0.1438315067,-0.1035150385,0.1065464872,0.3014468923,-0.1447052669,0.442056103,-0.3678949308,-0.442947382,-0.0472025659,0.2346623243,-0.1205397778,0.0003111302,0.0183143594,131,1.0,48,0.03564502197132677,-0.11874855318406445,-0.20829529729893442,0.30556918354041096,0.08480616472210631,-0.07559205763357152,-0.17372020052979276,-0.14997961376731805,-0.2421482441381374,0.07393580889775188,-0.18209554135358852,0.2230840232815756
0x03c23d5f89defdd0854483b06761a9e7896a47cf,106,42205.7364532056,40872.76,1,0.2735849057,0.1552717979,-0.10109128,1.5359563941,0.009100824,0.1281454433,0.7139851262,2.4341260217,-0.2992292724,-0.187495772,0.2343392492,0.3433049626,-0.2755554255,0.6800553255,-0.5550797004,-0.4220342455,0.0040918366,0.4183030663,0.0546999415,0.015031906,0.0029416234,64,0.6037735849,4,0.022816447784877236,0.3218220816400473,0.556121001416645,-0.42983813449641667,-0.5920468543011761,0.9543183025031587,-0.1698652059767616,-0.14557028921625717,0.8124738010739352,-0.3376450996583105,0.17488697178578141,1.3096079555698965
0x03d50cdc277f5fe70259511d56ea4c5a760064ef,135,5439.2617312059,7475.55,1,0.3925925926,0.0336593665,-0.0143424969,2.3468275323,0.0079023821,0.0505499856,0.980589417,16.4832749447,-0.0827856123,-0.0184550143,0.0699708458,0.1956765062,-0.0859471708,0.3310015313,-0.2870649759,-0.2870649759,0.0617305238,0.3032280483,0.1458136947,0.0180663172,-0.0024132535,103,0.762962963,44,-0.08454141491999063,-0.6148041457873629,-0.564985221587901,0.6358028976465181,0.7703578594803268,1.489807623910792,-0.182094821855412,-0.15246530226516383,1.0298643101908815,-0.48101353450997714,0.5760224253220622,0.6287581631773711
0x04027058bb4aff889402ffb6e4743a96ce88149a,104,167809.8375445048,38984.67,1,0.0865384615,0.0064893788,-0.0242762089,0.2673143402,-0.0024729453,0.0112209665,-3.1771051291,13.8998519517,-0.0534687689,-0.0271000735,5.6677e-05,0.0098678702,-0.0448756847,0.2396705283,-0.0732753316,-0.101992474,-0.0768413963,0.1364167395,0.1550510036,-0.001139939,-0.0045212232,21,0.2019230769,16,-1.013975686641677,-1.0895302686806823,-0.858326126393762,0.8666338860362245,0.7006819448355113,1.5440966867664938,-0.12808557056856665,-0.14596009438823143,-0.34610537168628236,-0.5374511188368433,-0.38836647243039674,-0.35819319202646144
