date,daily_return,equity_twr
2025-09-24,-0.2082307718,0.7917692282
2025-09-25,0.9014368878,1.5054992171
2025-09-26,0.0321538378,1.5539067948
2025-09-27,0.0702899174,1.663130775
2025-09-28,0.0721334006,1.7830980535
2025-09-29,0.2887999388,2.2980566622
2025-09-30,-0.0616343661,2.1564173965
2025-10-01,0.0,2.1564173965
2025-10-02,0.0,2.1564173965
2025-10-03,0.0,2.1564173965
2025-10-04,0.0,2.1564173965
2025-10-05,0.0,2.1564173965
2025-10-06,0.0,2.1564173965
2025-10-07,0.0,2.1564173965
2025-10-08,0.0,2.1564173965
2025-10-09,0.0,2.1564173965
2025-10-10,0.0,2.1564173965
2025-10-11,0.0,2.1564173965
2025-10-12,0.0,2.1564173965
2025-10-13,0.0,2.1564173965
2025-10-14,0.0,2.1564173965
2025-11-20,0.0,2.1564173965
2025-11-21,0.0,2.1564173965
